   Coefficients of polinom: T=K1+K2*(1000.0/R)+...+K7*[(1000.0/R)]**6+... 
__________________________________________________________________________

K1 = 14.700053858628962200
K2 = -214.820982555160299000
K3 = 1465.741299703717230000
K4 = -4634.670244656503200000
K5 = 7810.758536651730540000
K6 = -5887.226479500532150000
K7 = 1924.674827763810750000
__________________________

Òermometr ¹ 4 (D-4-4)
 
Measured   R,Ohm 4807.194 4226.663 3755.845 3432.012 3197.414 3019.383 
  4310.00   4.851    4030.00   5.356    3750.00   6.009    3470.00   6.871
  4305.00   4.859    4025.00   5.367    3745.00   6.022    3465.00   6.889
  4300.00   4.867    4020.00   5.377    3740.00   6.035    3460.00   6.907
  4295.00   4.875    4015.00   5.387    3735.00   6.049    3455.00   6.925
  4290.00   4.884    4010.00   5.397    3730.00   6.062    3450.00   6.943
  4285.00   4.892    4005.00   5.408    3725.00   6.076    3445.00   6.961
  4280.00   4.900    4000.00   5.418    3720.00   6.089    3440.00   6.980
  4275.00   4.908    3995.00   5.429    3715.00   6.103    3435.00   6.998

  3430.00   7.017    3150.00   8.260    2870.00  10.078    2590.00  12.941
  3425.00   7.036    3145.00   8.287    2865.00  10.118    2585.00  13.007
  3420.00   7.054    3140.00   8.313    2860.00  10.159    2580.00  13.073
  3415.00   7.073    3135.00   8.340    2855.00  10.199    2575.00  13.140
  3410.00   7.092    3130.00   8.367    2850.00  10.240    2570.00  13.207
  3405.00   7.111    3125.00   8.394    2845.00  10.282    2565.00  13.276
  3400.00   7.131    3120.00   8.422    2840.00  10.323    2560.00  13.344
  3395.00   7.150    3115.00   8.449    2835.00  10.365    2555.00  13.414
  3390.00   7.170    3110.00   8.477    2830.00  10.408    2550.00  13.484
  3385.00   7.189    3105.00   8.505    2825.00  10.451    2545.00  13.555
  3380.00   7.209    3100.00   8.533    2820.00  10.494    2540.00  13.626
  3375.00   7.229    3095.00   8.562    2815.00  10.537    2535.00  13.699
  3370.00   7.249    3090.00   8.590    2810.00  10.581    2530.00  13.772
  3365.00   7.269    3085.00   8.619    2805.00  10.625    2525.00  13.845
  3360.00   7.289    3080.00   8.648    2800.00  10.669    2520.00  13.920
  3355.00   7.309    3075.00   8.677    2795.00  10.714    2515.00  13.995
  3350.00   7.330    3070.00   8.707    2790.00  10.760    2510.00  14.071
  3345.00   7.350    3065.00   8.736    2785.00  10.805    2505.00  14.148
  3340.00   7.371    3060.00   8.766    2780.00  10.851    2500.00  14.225
  3335.00   7.392    3055.00   8.796    2775.00  10.898    2495.00  14.303
  3330.00   7.413    3050.00   8.826    2770.00  10.945    2490.00  14.382
  3325.00   7.434    3045.00   8.857    2765.00  10.992    2485.00  14.462
  3320.00   7.455    3040.00   8.887    2760.00  11.040    2480.00  14.543
  3315.00   7.476    3035.00   8.918    2755.00  11.088    2475.00  14.625
  3310.00   7.498    3030.00   8.949    2750.00  11.136    2470.00  14.707
  3305.00   7.519    3025.00   8.981    2745.00  11.185    2465.00  14.790
  3300.00   7.541    3020.00   9.012    2740.00  11.234    2460.00  14.874
  3295.00   7.563    3015.00   9.044    2735.00  11.284    2455.00  14.959
  3290.00   7.585    3010.00   9.076    2730.00  11.334    2450.00  15.045
  3285.00   7.607    3005.00   9.108    2725.00  11.385    2445.00  15.132
  3280.00   7.629    3000.00   9.141    2720.00  11.436    2440.00  15.220
  3275.00   7.651    2995.00   9.173    2715.00  11.488    2435.00  15.308
  3270.00   7.674    2990.00   9.206    2710.00  11.540    2430.00  15.398
  3265.00   7.697    2985.00   9.240    2705.00  11.592    2425.00  15.489
  3260.00   7.719    2980.00   9.273    2700.00  11.645    2420.00  15.580
  3255.00   7.742    2975.00   9.307    2695.00  11.698    2415.00  15.673
  3250.00   7.765    2970.00   9.341    2690.00  11.752    2410.00  15.766
